name,address,latitude,longitude,games,cabs,game_counts,source
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1,43.0545356,141.3545240,chunithm;dance_around;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:10;dance_around:2;ddr:3;drs:2;gitadora:4;iidx:9;jubeat:3;maimai_dx:4;ongeki:6;polaris_chord:8;popn:4;project_diva:1;sdvx:8;taiko:4,allnet;eagate;ziv
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１,43.0867627,141.3497046,chunithm;dance_around;ddr;gitadora;iidx;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワン東淀川店,大阪府大阪市東淀川区菅原７−１４−２８,34.7427577,135.5250375,chunithm;dance_around;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワン板橋店,東京都板橋区相生町１６−１３,35.7766273,139.6786153,chunithm;dance_around;ddr;drs;gitadora;iidx;jubeat;maimai_dx;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワン梅田店,大阪府大阪市北区小松原町４−１６,34.7030460,135.5010682,beatstream;chunithm;dance_around;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;reflec;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,beatstream:8;dance_around:2;ddr:3;gitadora:6;groove_coaster:4;iidx:5;jubeat:2;popn:2;project_diva:4;reflec:8;sdvx:7;taiko:5,allnet;eagate;ziv
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２−８−１６,35.4639294,139.6179961,chunithm;dance_around;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:8;dance_around:5;ddr:3;drs:2;gitadora:2;groove_coaster:2;iidx:6;jubeat:2;maimai_dx:6;ongeki:8;popn:3;project_diva:1;sdvx:8;taiko:4,allnet;eagate;ziv
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平３−１−１,35.7353291,139.3823619,chunithm;dance_around;ddr;drs;gitadora;iidx;maimai_dx;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワン池袋店,東京都豊島区東池袋１−１４−１,35.7301352,139.7152049,chunithm;dance_around;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:16;dance_around:2;ddr:3;drs:2;gitadora:4;iidx:11;jubeat:1;maimai_dx:6;nostalgia:1;ongeki:4;polaris_chord:2;popn:7;project_diva:1;sdvx:11;taiko:4,allnet;eagate;ziv
ラウンドワン沖縄・南風原店,沖縄県島尻郡南風原町字兼城５５２番地,26.1951082,127.7209626,chunithm;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx;wacca,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワン沖縄・宜野湾店,沖縄県宜野湾市真志喜３−２８−８,26.2758542,127.7310091,chunithm;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx;taiko;wacca,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワン津・高茶屋店,三重県津市高茶屋小森町２７７−８,34.6724656,136.5194702,chunithm;dance_around;ddr;gitadora;iidx;maimai_dx;ongeki;other;polaris_chord;popn;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:2;dance_around:1;ddr:1;gitadora:2;iidx:1;maimai_dx:2;ongeki:2;polaris_chord:2;popn:2;sdvx:2;taiko:2,allnet;eagate;ziv
ラウンドワン浜松店,静岡県浜松市中央区天王町諏訪１９８１−１７,34.7379036,137.7641716,chunithm;dance_around;ddr;drs;gitadora;iidx;maimai_dx;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
