name,address,latitude,longitude,games,cabs,game_counts,source
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7,35.8602600,139.6535399,chunithm;jubeat;maimai_dx;nostalgia;ongeki;project_diva,,,allnet;eagate
アミューズメントスペースASO：VIBA！,東京都渋谷区恵比寿1-10-5三恵エビスビル2F,35.6467821,139.7110171,chunithm;iidx;maimai_dx;ongeki;other;polaris_chord;popn;sdvx;taiko,iidx_lm;popn_pikapika;sdvx_vm,chunithm:2;iidx:1;maimai_dx:1;ongeki:1;polaris_chord:1;popn:1;sdvx:1;taiko:2,allnet;eagate;ziv;otogesetchi
アミューズメントスペースコミ丸四日市店,三重県四日市市鵜の森1-3-19,34.9664199,136.6164714,chunithm;ddr;iidx;maimai_dx;nostalgia;ongeki;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate
アミューズメントスペース遊ランド士別,北海道士別市大通東８,44.1739175,142.3943263,chunithm;jubeat;ongeki;other,,,allnet;eagate;ziv
アミューズメントスペース遊ランド春光店,北海道旭川市春光1条7丁目2-25,43.7981968,142.3740362,chunithm;drs;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;popn;sdvx;taiko,iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミューズメントスペース遊ランド稚内店,北海道稚内市港５丁目８−１５,45.4006983,141.6808192,chunithm;gitadora;iidx;jubeat;nostalgia;ongeki;other;popn;project_diva;reflec;sdvx,sdvx_vm,,allnet;eagate;ziv
アミューズメントパフェパレパレ田宮店,徳島県徳島市南田宮２−２−４６,34.0861319,134.5427222,chunithm;gitadora;jubeat;maimai_dx;ongeki;other;popn,,,allnet;eagate;ziv
アミューズメントパレスワンダーヴュー阿見店,稲敷郡阿見町大字阿見2958ショッピングセンターマイ･アミ2F,36.0422309,140.2100215,gitadora;iidx;sdvx,iidx_lm;sdvx_vm,iidx:3,eagate;ziv
アミューズメントパークMGレインボー店,高松市多肥下町字凹原630マルナカパワシティレインボー店2F,34.2996539,134.0588105,iidx;other;popn,iidx_lm,,eagate;ziv
アミューズメントパークＭＧキスケ,愛媛県松山市宮田町４　キスケボックス内１階,33.8413598,132.7528735,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミューズメントパークＭＧジアス,広島県福山市柳津町１−７−６０,34.4406368,133.2606430,chunithm;gitadora;ongeki;other;polaris_chord;popn;sdvx,sdvx_vm,,allnet;eagate;ziv
アミューズメントパークＭＧ伊予三島,愛媛県四国中央市中之庄町７５−１　アイランド三島内,33.9745392,133.5287779,chunithm;gitadora;iidx;ongeki;other;polaris_chord;popn;sdvx,iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミューズメントパークＭＧ大街道,愛媛県松山市大街道１−４−１７,33.8378938,132.7698832,chunithm;iidx;maimai_dx;ongeki;other;popn;sdvx,iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミューズメントパークＭＧ東予,愛媛県西条市周布７１５−１　フジ東予店　別棟,33.9204600,133.0775400,chunithm;ddr;gitadora;nostalgia;ongeki;polaris_chord;popn;project_diva,,,allnet;eagate
アミューズメントパークＭＧ西条,愛媛県西条市新田字北新田２３５フジグラン西条　別棟,33.9251294,133.1826449,chunithm;ongeki;other;sdvx,sdvx_vm,,allnet;eagate;ziv
アミューズメントヒカリ,宇都宮市江野町7-13ヒカリビル1F,36.5600400,139.8816700,gitadora;iidx;nostalgia;popn,,,eagate
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ,35.8561384,139.5223952,chunithm;gitadora;iidx;jubeat;maimai_dx;nostalgia;popn;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;sdvx_vm,,allnet;eagate
